retailer,month,revenue,gmv,margin,cpa_in,transactions,cb_total
Kinguin,202601,2.61,125.48,-28.76,2.1,4,31.37
Kinguin,202602,2.8,140.78,-0.35,2.0,16,3.15
Kinguin,202603,3.63,160.32,-4.19,2.3,9,7.82
Kinguin,202604,4.62,126.16,3.36,3.7,6,1.26
Kinguin,202605,3.61,175.07,-4.69,2.1,5,8.3
Komputronik,202511,10.92,722.97,0.08,1.5,2,10.85
Komputronik,202512,104.9,6940.22,2.32,1.5,2,102.58
Komputronik,202604,14.28,944.61,0.0,1.5,1,0.0
Konesso,202509,3.5,84.69,2.5,4.1,1,1.0
Konesso,202511,8.41,710.19,0.03,1.2,1,8.38
Konesso,202512,92.94,2714.42,-25.2,3.4,3,118.15
Konesso,202601,6.34,153.16,-1.72,4.1,3,8.06
Krakvet,202601,1.53,38.32,-0.01,4.0,1,1.54
Krakvet,202602,18.2,454.89,-14.9,4.0,4,33.1
Król Materacy,202602,61.87,773.4,-0.0,8.0,2,61.87
LEGO,202506,0.1,3.21,0.0,3.0,1,0.0
LEGO,202511,1.52,50.61,0.0,3.0,1,1.52
LEGO,202512,3.11,103.69,0.0,3.0,1,3.11
LEGO,202603,23.33,333.24,15.22,7.0,3,8.1
LG,202601,12.92,646.14,-3.23,2.0,1,16.15
LG,202603,8.23,411.65,-2.06,2.0,1,10.29
LG,202604,14.91,745.4,-3.73,2.0,1,18.64
LOT,202602,33.16,2210.51,0.0,1.5,3,33.16
LOT,202603,29.45,1963.04,0.0,1.5,3,29.45
LOT,202604,54.56,3637.59,1.13,1.5,9,53.44
Lampy.pl,202512,203.67,2545.89,0.0,8.0,1,203.67
Lampy.pl,202603,9.86,151.14,-2.24,6.5,2,12.09
Lampy.pl,202604,1.24,15.56,0.0,8.0,1,1.24
Legimi,202511,11.35,0.0,0.0,0.0,4,11.35
Legimi,202601,2.84,13.02,0.0,21.8,1,2.84
Legimi,202602,830.42,0.0,0.0,0.0,292,830.42
Legimi,202603,322.88,7.49,0.0,4309.7,115,322.88
Legimi,202604,408.77,9.17,0.0,4459.1,145,408.77
Leo Express,202603,5.79,41.33,0.0,14.0,1,5.79
Leroy Merlin,202507,13.68,228.03,0.0,6.0,1,13.68
Leroy Merlin,202508,27.06,678.22,-13.63,4.0,3,40.69
Leroy Merlin,202509,27.39,686.46,0.0,4.0,1,27.39
Leroy Merlin,202510,73.35,1674.67,-25.49,4.4,13,98.84
Leroy Merlin,202511,0.94,41.96,0.08,2.2,3,0.86
Leroy Merlin,202512,12.23,419.78,1.06,2.9,2,11.17
Leroy Merlin,202601,127.49,2910.61,52.63,4.4,6,74.86
Leroy Merlin,202602,42.53,971.02,-5.56,4.4,8,48.09
Leroy Merlin,202603,146.74,3648.29,13.55,4.0,23,133.19
Leroy Merlin,202604,130.12,5941.93,-101.07,2.2,31,231.2
Leroy Merlin,202605,150.39,3433.47,63.78,4.4,7,86.61
Lidl,202511,4.79,478.69,-0.02,1.0,1,4.81
Lidl,202601,9.65,965.13,-81.56,1.0,3,91.21
Lidl,202602,23.14,2314.57,-280.6,1.0,10,303.74
Lidl,202603,2.66,265.45,-1.59,1.0,4,4.25
Lidl,202604,1.47,147.65,-4.46,1.0,4,5.93
Lidl,202605,2.97,100.73,0.22,2.9,2,2.76
Lookfantastic,202512,2.2,45.38,-0.44,4.8,2,2.64
Mamyito,202601,1.84,38.39,-0.01,4.8,1,1.85
Mamyito,202603,4.15,86.41,0.05,4.8,2,4.1
Mamyito,202604,7.09,147.69,-0.04,4.8,3,7.13
Mango Outlet,202603,64.73,431.51,-12.03,15.0,4,76.76
Marilyn,202602,67.7,1128.34,-0.0,6.0,1,67.7
Marilyn,202603,11.74,195.6,0.0,6.0,1,11.74
Max Elektro,202511,103.57,2589.15,-0.19,4.0,1,103.76
Max Elektro,202512,21.71,542.67,-0.05,4.0,1,21.76
Max Elektro,202601,206.78,5169.37,112.11,4.0,2,94.67
Max Elektro,202602,65.92,1648.09,0.14,4.0,1,65.78
Max Elektro,202603,73.8,1844.89,1.08,4.0,1,72.72
Maxi Zoo,202509,1663.61,46498.66,0.0,3.6,371,1663.61
Maxi Zoo,202510,1350.02,46608.38,-152.22,2.9,363,1502.24
Maxi Zoo,202511,142.76,9221.63,0.0,1.5,73,142.76
Maxi Zoo,202601,0.88,29.37,0.0,3.0,1,0.88
Maxi Zoo,202603,13.61,408.35,3.03,3.3,5,10.58
Maxi Zoo,202604,2.49,51.55,0.42,4.8,3,2.08
MebleMWM,202510,215.84,3372.54,-1.21,6.4,1,217.05
MebleMWM,202512,361.27,5644.78,-1.82,6.4,2,363.09
MebleMWM,202601,440.66,6885.32,107.53,6.4,5,333.13
MebleMWM,202602,2435.84,38060.21,654.4,6.4,14,1781.44
MebleMWM,202603,3560.11,55626.66,2746.07,6.4,18,814.04
MebleMWM,202604,927.72,14495.68,739.74,6.4,4,187.98
MebleMWM,202605,182.99,2859.17,102.27,6.4,3,80.72
MediaMarkt,202509,0.35,23.45,0.03,1.5,1,0.32
MediaMarkt,202510,3.86,257.5,-22.03,1.5,1,25.89
MediaMarkt,202511,35.86,1195.53,-93.46,3.0,9,129.32
MediaMarkt,202512,101.66,5012.27,-204.24,2.0,16,305.9
MediaMarkt,202601,5.77,192.6,0.67,3.0,4,5.1
MediaMarkt,202602,32.4,1304.81,-52.46,2.5,7,84.86
MediaMarkt,202603,104.49,5330.8,-51.14,2.0,16,155.64
MediaMarkt,202604,108.06,5460.74,7.02,2.0,9,101.04
MediaMarkt,202605,100.77,2753.63,48.2,3.7,2,52.57
Medicine,202511,4.17,69.51,0.0,6.0,2,4.17
Medicine,202602,5.87,97.82,4.21,6.0,2,1.66
Medicine,202603,3.51,58.55,2.0,6.0,2,1.51
Medicine,202604,9.22,153.6,3.08,6.0,4,6.13
Merkury Market,202511,143.82,4109.1,0.0,3.5,8,0.0
Merkury Market,202601,142.42,4069.07,0.0,3.5,3,142.42
Merkury Market,202602,205.18,5862.39,0.0,3.5,3,205.18
Merkury Market,202604,173.7,4962.87,5.87,3.5,2,167.83
Modivo,202510,3.98,104.76,-6.56,3.8,1,10.54
Modivo,202511,1.38,16.8,0.71,8.2,2,0.67
Modivo,202512,9.03,233.33,-15.97,3.9,2,25.0
Modivo,202601,10.88,274.79,7.88,4.0,4,3.0
Modivo,202602,12.82,337.52,3.1,3.8,3,9.72
Modivo,202603,49.54,1021.85,4.91,4.8,8,44.63
Modivo,202604,19.1,428.83,-5.68,4.5,7,24.78
Modivo,202605,2.21,40.56,0.59,5.4,2,1.62
Mountain Warehouse,202601,8.67,144.46,0.0,6.0,1,8.67
NEONAIL,202511,1.34,19.15,0.0,7.0,1,1.34
New Balance,202511,15.71,483.77,0.0,3.2,5,0.0
New Balance,202512,5.94,182.74,-1.1,3.2,1,7.04
New Balance,202603,9.17,91.67,-16.01,10.0,2,25.18
New Balance,202604,12.91,172.11,-4.3,7.5,1,17.21
New Balance,202605,0.78,25.82,0.0,3.0,1,0.78
Nike,202510,2.99,99.55,0.0,3.0,1,2.99
Nike,202511,20.85,695.05,-37.67,3.0,10,58.52
Nike,202512,5.26,175.22,1.75,3.0,2,3.5
Nike,202601,3.27,109.0,1.09,3.0,2,2.18
Ninja,202511,3.1,62.06,-3.1,5.0,1,6.21
Ninja,202512,86.5,1729.99,39.21,5.0,1,47.29
Ninja,202601,31.63,316.3,-3.82,10.0,3,35.45
Ninja,202602,492.9,4929.02,433.99,10.0,2,58.91
Ninja,202603,891.77,8352.06,798.37,10.7,2,93.4
Ninja,202604,492.14,9842.84,398.48,5.0,3,93.66
NordVPN,202601,23.51,58.77,0.0,40.0,1,23.51
NordVPN,202602,25.58,63.95,0.0,40.0,1,25.58
Notino,202511,13.16,357.25,-7.95,3.7,6,21.11
Notino,202512,103.94,2224.63,5.6,4.7,12,98.34
Notino,202601,166.2,3510.25,-81.3,4.7,11,247.5
Notino,202602,122.75,2553.45,-33.43,4.8,8,156.17
Notino,202603,1101.69,22141.61,0.21,5.0,21,1101.48
Notino,202604,735.24,15299.31,40.22,4.8,27,695.02
Notino,202605,18.58,453.16,3.5,4.1,9,15.08
Novakid,202604,0.0,0.0,0.0,0.0,2,0.0
OBI,202601,8.35,167.05,-0.0,5.0,2,8.35
