date,retailer,igraal_slug,letyshops_rate,letyshops_rate_type,letyshops_boosted,letyshops_url
2026-07-12,7way,7way,1.75,%,False,https://letyshops.com/pl/shops/7way
2026-07-12,Orange Flex,orangeflex,,not_found,False,
2026-07-12,Your KAYA,yourkaya,,no cashback,False,
2026-07-12,Airbnb,airbnb,,not_found,False,
2026-07-12,Carinii,carinii,,no cashback,False,
2026-07-12,Duka,duka,,no cashback,False,
2026-07-12,Kaufland,kaufland,,not_found,False,
2026-07-12,Kolba,kolba,,no cashback,False,
2026-07-12,KROSS,kross,,not_found,False,
2026-07-12,LycaMobile,lyca-mobile,12.5,%,False,https://letyshops.com/pl/shops/lycamobile-pl
2026-07-12,Mango,mango,,no cashback,False,
2026-07-12,Nintendo eShop,nintendo-eshop,,not_found,False,
2026-07-12,OnePlus,oneplus,,no cashback,False,
2026-07-12,Sportofino,sportofino,2.1,%,False,https://letyshops.com/pl/shops/sportofino-pl
2026-07-12,Spotify,spotify,,not_found,False,
2026-07-12,Ticketmaster,ticketmaster,,no cashback,False,
2026-07-12,Tołpa,tolpa,,no cashback,False,
2026-07-12,Top Hi Fi,tophifi,,no cashback,False,
2026-07-12,YES,yes,,not_found,False,
2026-07-12,Zegarownia,zegarownia,,no cashback,False,
